x,y_ref_real,y_ref_imag,y_ref_abs
22355,111.74,-91.295,144.29
22356,111.73,-91.521,144.43
22357,111.72,-91.749,144.57
22358,111.7,-91.979,144.7
22359,111.67,-92.209,144.82
22360,111.64,-92.441,144.94
22361,111.6,-92.673,145.06
22362,111.55,-92.905,145.17
22363,111.49,-93.136,145.27
22364,111.42,-93.366,145.37
22365,111.34,-93.594,145.46
22366,111.26,-93.82,145.54
22367,111.17,-94.043,145.61
22368,111.07,-94.264,145.68
22369,110.97,-94.481,145.74
22370,110.86,-94.695,145.8
22371,110.74,-94.905,145.84
22372,110.62,-95.11,145.88
22373,110.49,-95.31,145.91
22374,110.35,-95.506,145.94
22375,110.21,-95.696,145.96
22375,110.21,-95.696,145.96
22376,110.06,-95.882,145.97
22377,109.91,-96.061,145.98
22378,109.76,-96.235,145.97
22379,109.6,-96.403,145.97
22380,109.44,-96.566,145.95
22381,109.28,-96.723,145.93
22382,109.11,-96.873,145.91
22383,108.94,-97.018,145.88
22384,108.77,-97.157,145.84
22385,108.6,-97.29,145.8
22386,108.42,-97.418,145.76
22387,108.25,-97.539,145.71
22388,108.07,-97.656,145.66
22389,107.9,-97.766,145.6
22390,107.72,-97.872,145.54
22391,107.54,-97.972,145.48
22392,107.37,-98.067,145.41
22393,107.19,-98.157,145.34
22394,107.02,-98.243,145.27
22395,106.84,-98.324,145.2
22396,106.67,-98.4,145.12
22397,106.5,-98.473,145.05
22398,106.33,-98.541,144.97
22399,106.16,-98.605,144.89
22400,105.99,-98.665,144.81
22401,105.82,-98.722,144.72
22402,105.66,-98.776,144.64
22403,105.5,-98.826,144.55
22404,105.33,-98.873,144.47
22405,105.18,-98.917,144.38
22406,105.02,-98.958,144.3
22407,104.86,-98.996,144.21
22408,104.71,-99.032,144.12
22409,104.56,-99.066,144.03
22410,104.41,-99.097,143.95
22411,104.26,-99.126,143.86
22412,104.11,-99.153,143.77
22413,103.97,-99.178,143.68
22414,103.82,-99.201,143.6
22415,103.68,-99.223,143.51
22416,103.54,-99.243,143.42
22417,103.41,-99.261,143.34
22418,103.27,-99.279,143.25
22419,103.14,-99.294,143.17
22420,103.01,-99.309,143.08
22421,102.88,-99.322,143
22422,102.75,-99.334,142.92
22423,102.62,-99.345,142.83
22424,102.5,-99.356,142.75
22425,102.38,-99.365,142.67
22426,102.26,-99.373,142.59
22427,102.14,-99.381,142.51
22428,102.02,-99.388,142.43
22429,101.9,-99.395,142.35
22430,101.79,-99.4,142.27
22431,101.67,-99.405,142.19
22432,101.56,-99.41,142.12
22433,101.45,-99.414,142.04
22434,101.34,-99.418,141.96
22435,101.23,-99.421,141.89
22436,101.13,-99.424,141.82
22437,101.02,-99.427,141.74
22438,100.92,-99.429,141.67
22439,100.81,-99.431,141.6
22440,100.71,-99.432,141.53
22441,100.61,-99.434,141.46
22442,100.51,-99.435,141.39
22443,100.41,-99.436,141.32
22444,100.32,-99.437,141.25
22445,100.22,-99.438,141.18
22446,100.12,-99.438,141.11
22447,100.03,-99.439,141.05
22448,99.937,-99.439,140.98
22449,99.844,-99.439,140.91
22450,99.752,-99.44,140.85
22450,99.752,-99.44,140.85
22451,99.662,-99.44,140.79
22452,99.572,-99.44,140.72
22453,99.482,-99.44,140.66
22454,99.394,-99.44,140.6
22455,99.307,-99.44,140.53
22456,99.22,-99.44,140.47
22457,99.134,-99.439,140.41
22458,99.048,-99.439,140.35
22459,98.964,-99.439,140.29
22460,98.88,-99.439,140.23
