t4 e4 t1 e1 t2 e2 t3 e3 
8.9853720959 1.2926991602 8.9448904512 24.7486561643 8.9454918722 17.7734044018 8.9379907913 1.1673251819 
9.3369831297 1.5346753835 8.9941923350 24.7322855604 8.9950879942 17.5364778710 8.9869154070 0.8250112241 
9.4471348119 3.0015267206 9.0453197308 24.7258121908 9.0454591850 17.5588848283 9.0368173519 3.8637047831 
9.5503185295 2.9546344900 9.0949990136 24.7022252510 9.0959631040 17.6360274373 9.0861148921 1.2442682279 
9.5645101408 2.0006913437 9.1453117053 24.5868628482 9.1443628021 17.8360303916 9.1365243350 4.4938733963 
9.5789055135 2.4944894920 9.1960268461 24.7121572727 9.1950242168 17.5232131263 9.1832646973 3.9904908045 
9.6596225349 2.7380126008 9.2456079491 24.6988365255 9.2450635379 17.5899540527 9.2295672588 3.6005340159 
9.6723266243 2.5596042753 9.2967578963 24.8131233469 9.2955552835 17.5273094009 9.2761002602 4.5041763133 
9.6862917243 1.7013513328 9.3461845001 24.7774921497 9.3457240051 17.5207449934 9.3263562581 1.6306843864 
9.7002574050 2.2499108394 9.3970805419 24.6922045220 9.3959523383 17.4608001865 9.3781605214 3.9073017036 
9.7137550661 2.3472135715 9.4470951185 24.7229324752 9.4474755248 17.4405063926 9.4310651267 3.0013548003 
9.7800378547 2.2166109011 9.4970757266 24.6442449569 9.4968759744 17.8744230211 9.4827567318 2.7985335023 
9.7932065820 1.8188954555 9.5480123027 24.7918952154 9.5482128567 17.2738197288 9.5330069706 1.8895737723 
9.8038309777 2.0397648549 9.5973479139 24.7909125430 9.5981319628 17.2398203373 9.5830734191 1.5709971191 
9.8135083177 2.2296864170 9.6485596605 24.8266224285 9.6487619576 17.1388725712 9.6301944105 1.6122063771 
9.8260268392 1.7044122663 9.6982181363 24.7872465930 9.6992425263 17.2980479585 9.6839621275 5.1927465372 
9.8400274478 1.9385421110 9.7488131144 24.6664950213 9.7486186511 17.2537668381 9.7348889929 1.4288681592 
9.9064393295 1.8071212979 9.7991913684 24.7604135487 9.7995294779 17.5814857311 9.7838468825 4.4943411796 
9.9213575176 1.4777235180 9.8488041432 24.7329214743 9.8487876888 17.3827221041 9.8358032079 2.4870618764 
9.9330145674 1.7311015136 9.9000720008 24.8620998075 9.8997843821 17.5874228272 9.8899068637 1.0522772246 
9.9475258479 1.4904609519 9.9493256983 24.8440789149 9.9498211892 17.4533282375 9.9500141411 3.3561285219 
10.0000000000 1.0958862089 10.0000000000 24.7890780162 10.0000000000 17.4323048341 10.0000000000 1.1316157296 
