t_new x1_new x2_new F_new d t_grad x1_grad x2_grad F_grad 
25.9501667681 0.8478780546 -1.1107355840 4.9998229827 97.1542789906 27.6166549815 4.6567041765 -3.8676179759 4.8920264086 
26.2262139704 0.8377567676 -1.4187335563 4.9989916967 96.4413269105 27.9034944297 4.8710681556 -3.7750720881 4.8865690312 
26.5166958842 1.1522731600 -0.3639915565 4.9978615307 96.4767244570 28.1873238508 3.7302201610 -3.5608090872 4.9299407735 
26.7797093591 0.9938943794 -1.2869104849 4.9995882255 97.4014256703 28.4640295674 4.6232939165 -3.6384703413 4.8995510773 
27.0495637418 1.1652778825 -1.2977500155 4.9994201407 96.9035570697 28.6828118391 4.2781223347 -3.6378952726 4.9114771124 
27.3366998656 0.6072495336 -0.4382809362 4.9976510938 97.2167229940 28.9093089262 4.3638964400 -3.7165369020 4.9065231400 
27.6058839398 1.2930383291 -1.2698405184 4.9992065732 97.6391434448 29.1650404893 4.6695752456 -3.2380016520 4.9076278306 
27.9009729471 1.4438285345 -1.1293536777 4.9989314193 97.5994286522 29.4624058510 4.1322817733 -4.1964456154 4.8998577316 
28.1910654428 0.3588679608 -0.9278724008 4.9979187366 97.4248206670 29.7331966544 4.4352405963 -3.5678328531 4.9080267824 
28.4601341087 1.2491178274 -0.9978199762 4.9996896778 98.2455419391 30.0574939081 4.2364616931 -2.9375283580 4.9288564979 
28.7254519112 1.2908092867 -0.8162381647 4.9994083077 97.7689832287 30.3027044215 4.6131117180 -4.1522634866 4.8850432931 
29.0128454898 0.4916740760 -1.4623530070 4.9976391723 97.9876918336 30.6212867451 4.6934325733 -3.8852476909 4.8901695079 
29.2850949530 1.2297214641 -0.7212893595 4.9993477421 98.5306907676 30.9235222699 3.8051282470 -3.2721835668 4.9348421868 
29.5764961535 1.0920736568 -0.5590190035 4.9989852910 98.3311524389 31.1995552822 4.4105337823 -3.6496152132 4.9067389927 
29.8172183738 1.0066231108 -1.6482181507 4.9978988468 98.8348879648 31.4560089633 4.7165066273 -3.5306948401 4.8989158106 
30.1014721035 0.9043736644 -0.4897600708 4.9986525541 98.3971521551 31.7094869234 3.7236941275 -3.7889394838 4.9240165343 
30.3858354427 0.8736168837 -0.8681049406 4.9998331550 98.1271937539 31.8880572856 4.7398889812 -3.3399839571 4.9026885274 
30.6372431949 1.4177494968 -1.3679322077 4.9984505562 98.6131524586 32.0743962252 4.0980978568 -3.8135702952 4.9124280593 
30.9493130199 0.6211559421 -0.7677826573 4.9990127614 98.6532085071 32.3406485240 4.7056085593 -3.0552002374 4.9102230859 
